age,E1,N1,A1,C1,O1
40,1,4,1,2,5
37,1,4,1,5,3
23,2,2,2,2,4
28,1,1,2,2,5
27,5,4,3,4,2
16,1,5,1,2,4
41,3,3,2,2,4
27,3,4,1,3,5
20,4,1,4,2,5
16,2,4,3,3,4
67,1,2,2,3,5
45,3,5,1,3,4
14,1,5,1,4,3
43,3,2,3,4,4
13,1,4,3,1,3
41,1,3,1,4,5
34,3,2,3,5,5
19,3,2,5,3,2
23,1,1,4,1,5
33,3,5,1,4,3
36,5,5,1,5,5
30,3,2,2,1,5
31,3,5,2,4,3
20,2,1,2,4,3
29,2,3,3,4,5
27,5,1,4,5,5
23,2,3,4,4,3
20,4,1,4,4,4
45,3,2,3,4,3
57,1,1,1,4,5
17,1,4,3,2,5
51,5,2,5,3,4
19,4,4,2,3,3
44,1,4,2,3,2
22,3,2,5,2,2
1997,3,4,2,3,2
33,4,5,2,2,4
17,2,4,4,4,3
16,1,5,1,3,3
14,3,3,1,3,5
17,1,5,3,5,2
23,3,3,3,3,4
32,4,2,2,4,2
15,3,2,3,4,2
26,3,5,1,4,4
22,2,4,4,4,2
17,3,3,4,2,5
21,4,5,5,3,1
19,3,4,5,1,3
33,3,1,1,4,3
30,1,2,1,3,2
19,5,3,5,3,4
45,4,2,3,4,4
29,3,4,2,5,3
21,3,3,4,3,4
56,2,5,2,4,5
18,1,5,1,3,3
21,2,3,2,3,2
24,4,4,5,3,2
19,2,4,3,4,5
28,1,4,3,5,5
48,3,2,1,3,4
37,3,2,4,4,2
25,2,1,5,2,4
56,4,1,1,3,3
34,5,4,5,4,2
26,1,2,2,3,4
35,5,3,2,2,4
17,5,4,3,3,4
17,1,2,2,4,5
18,4,4,1,3,5
38,1,5,1,5,3
16,1,5,1,4,2
25,2,2,3,4,4
22,3,2,5,5,4
51,4,1,1,5,4
34,1,1,3,3,2
20,3,5,2,3,1
19,4,1,5,5,3
42,3,3,2,4,5
18,1,5,1,1,4
33,1,4,1,1,3
16,3,5,1,4,3
25,1,5,2,3,5
29,2,4,1,2,5
15,2,3,3,2,5
50,1,1,1,3,3
30,5,1,3,4,4
25,3,2,2,4,4
21,2,4,1,3,4
53,1,2,4,3,3
19,3,4,2,2,4
26,3,3,1,3,4
17,2,3,3,3,4
26,5,3,5,5,4
25,2,1,4,5,4
30,5,1,1,4,3
30,5,3,5,3,1
22,2,1,2,5,5
29,3,5,1,4,3
24,4,4,1,5,5
18,2,4,1,4,5
30,3,3,4,4,1
20,2,2,1,4,4
26,3,3,2,4,5
23,2,2,2,5,4
23,5,3,1,5,5
28,1,5,4,5,2
1994,2,5,4,3,3
28,3,2,4,4,2
29,4,2,1,4,2
16,1,5,1,2,4
16,2,3,4,3,4
18,4,4,2,4,2
36,4,2,2,4,5
62,3,1,1,3,4
27,1,4,4,4,5
23,4,2,1,3,4
16,1,1,5,4,5
21,1,2,2,4,4
37,2,5,3,4,5
36,3,2,2,3,3
22,1,2,4,4,4
17,2,2,4,1,5
15,4,4,4,4,2
28,3,3,1,4,5
22,1,5,1,3,5
32,3,4,1,3,3
15,3,2,2,4,3
30,4,4,1,4,3
18,4,4,1,3,4
22,1,1,5,5,5
18,2,4,4,4,4
31,5,5,1,4,5
14,1,4,2,2,3
43,3,2,4,4,4
16,2,5,4,1,4
18,2,4,1,3,3
14,3,5,3,4,4
19,2,5,3,3,3
24,5,3,1,3,1
22,1,5,3,4,3
44,1,3,2,4,4
32,3,4,2,5,4
46,1,4,4,4,1
21,3,3,2,5,2
16,5,3,1,3,1
18,3,5,2,5,3
32,1,4,3,2,5
34,3,1,2,3,2
15,1,4,2,3,5
20,1,3,2,2,4
22,4,2,2,2,2
22,3,2,1,4,3
17,4,3,5,3,5
24,4,3,1,2,5
21,5,5,1,1,3
31,3,5,4,3,5
47,3,4,1,4,5
59,3,4,2,4,4
50,1,3,1,1,3
21,4,3,2,4,4
17,4,5,2,4,3
18,2,4,1,4,4
16,1,4,5,4,4
58,3,2,2,3,3
53,3,2,2,4,4
18,3,3,2,4,2
21,2,5,3,3,3
19,4,4,1,3,2
18,1,4,4,4,3
47,1,2,1,4,3
22,4,2,2,5,3
18,1,4,4,4,3
18,2,2,3,4,4
23,4,5,2,5,5
40,3,2,1,3,5
21,1,4,1,3,4
21,3,1,1,4,5
18,4,4,2,2,4
29,3,4,1,3,4
16,2,4,2,3,4
16,1,5,1,2,5
35,1,3,1,4,3
21,3,1,2,2,5
21,1,3,2,4,3
22,4,2,5,3,4
16,5,3,1,5,5
18,4,5,1,4,5
50,4,1,1,5,4
19,4,5,2,3,5
24,3,4,2,2,5
20,3,4,2,3,3
17,2,5,3,3,2
19,4,2,1,2,3
18,2,4,1,3,2
16,2,4,2,1,5
19,1,4,1,1,5
47,1,5,3,4,5
47,2,4,1,2,4
39,2,5,3,2,5
48,3,2,1,4,5
19,3,4,1,4,3
16,1,2,5,3,2
33,1,4,2,3,3
57,3,3,1,2,2
14,4,5,4,3,3
14,2,4,1,4,1
16,1,2,4,3,5
22,2,4,2,4,2
25,1,2,1,2,2
21,3,1,2,4,4
21,1,2,3,2,2
17,3,1,4,4,5
30,3,3,1,4,3
20,3,2,4,5,4
16,2,3,2,2,5
48,5,2,3,5,5
19,2,2,1,5,3
15,2,5,1,3,3
31,3,3,1,2,4
